# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE229928|other_multiomics|Homo sapiens|5|GSE229928_Infected-Jurkat_atac_fragments.tsv.gz(1.6GB), GSE229928_Infected-Jurkat_barcodes.tsv.gz(2MB), GSE229928_Infected-Jurkat_features.tsv.gz(3MB), GSE229928_Infected-Jurkat_matrix.mtx.gz(472MB), GSE229928_Mix_CITE_barcodes.tsv.gz(3MB), GSE229928_Mix_CITE_features.tsv.gz(105B), GSE229928_Mix_CITE_matrix.mtx.gz(2MB), GSE229928_Uninfected-Jurkat_atac_fragments.tsv.gz(597MB), GSE229928_Uninfected-Jurkat_barcodes.tsv.gz(2MB), GSE229928_Uninfected-Jurkat_features.tsv.gz(2MB), GSE229928_Uninfected-Jurkat_matrix.mtx.gz(176MB)|immunology,epigenetics,infectious_disease,gene_regulation|Single Cell Multiome of isogenic HIV-1-infected Jurkat T cells|integration introduces ectopic transcription factor binding sites host chromatin postulate integrated provirus serves enhancer recruits additional transcriptional factors locus increases|multiomics
GSE229927|other_multiomics|Homo sapiens|61|[GEO:BW]|immunology,epigenetics,infectious_disease,gene_regulation|ATAC-seq of isogenicHIV-1 infected Jurkat T cell lines|integration introduces ectopic transcription factor binding sites host chromatin postulate integrated provirus serves enhancer recruits additional transcriptional factors locus increases|multiomics
GSE229926|other_multiomics|Homo sapiens|10|[GEO:BW, CSV]|epigenetics,infectious_disease,gene_regulation|HIV-1 LTR targeting 4C-seq|integration introduces ectopic transcription factor binding sites host chromatin postulate integrated provirus serves enhancer recruits additional transcriptional factors locus increases|multiomics
GSE211166|cite_seq|Mus musculus|4|GSE211166_combined.object.rds.gz(71MB), GSE211166_doca.salt_barcodes.tsv.gz(30KB), GSE211166_doca.salt_features.tsv.gz(245KB), GSE211166_doca.salt_matrix.mtx.gz(35MB), GSE211166_sham_barcodes.tsv.gz(18KB), GSE211166_sham_features.tsv.gz(245KB), GSE211166_sham_matrix.mtx.gz(17MB)|immunology,cardiovascular,fibrosis_wound,lung_respiratory,cell_stress|Immune profiling of murine cardiac leukocytes identifies Trem2 as a novel mediator of hypertensive heart failure|preserved ejection fraction HFpEF characterized diastolic dysfunction microvascular myocardial fibrosis recent evidence implicating system orchestrating remodeling mouse model deoxycorticosterone|multiomics
GSE206381|cite_seq|Mus musculus|8|GSE206381_RRW-01-barcodes.tsv.gz(6MB), GSE206381_RRW-01-features.tsv.gz(254KB), GSE206381_RRW-01-matrix.mtx.gz(122MB), GSE206381_RRW-02-barcodes.tsv.gz(6MB), GSE206381_RRW-02-features.tsv.gz(254KB), GSE206381_RRW-02-matrix.mtx.gz(119MB), GSE206381_RRW-03-barcodes.tsv.gz(4MB), GSE206381_RRW-03-features.tsv.gz(254KB), GSE206381_RRW-03-matrix.mtx.gz(74MB), GSE206381_RRW-04-barcodes.tsv.gz(4MB), GSE206381_RRW-04-features.tsv.gz(254KB), GSE206381_RRW-04-matrix.mtx.gz(72MB)|cancer,immunology,development,hematopoiesis,cell_stress,rna_biology|YTHDF2 inhibition potentiates radiotherapy by reprogramming suppressive myeloid cells [CITE-Seq]|RNA N6-methyladenosine m6A modification implicated cancer progression impact antitumor effects related unknown ionizing radiation induces immunosuppressive myeloid-derived suppressor MDSC expansion|multiomics
GSE229018|cite_seq|Mus musculus|10|no_suppl|immunology,development,aging,skeletal_muscle,hematopoiesis|Stem cell decoupling underlies impaired lymphoid development during aging|Mammalian multiple defects hematopoiesis most prominently lymphocytes defect thought originate hematopoietic cells HSCs bone marrow specifically due age-dependent accumulation preferential|multiomics
GSE229017|cite_seq|Mus musculus|6|GSE229017_README_barcode_sequences_for_ADTs_HTOs.csv(728B), GSE229017_wk4_barcodes.tsv.gz(64KB), GSE229017_wk4_features.tsv.gz(284KB), GSE229017_wk4_matrix.mtx.gz(182MB), GSE229017_wk4_raw_barcodes.tsv.gz(10MB), GSE229017_wk4_raw_features.tsv.gz(254KB), GSE229017_wk4_raw_matrix.mtx.gz(343MB), GSE229017_wk8_barcodes.tsv.gz(54KB), GSE229017_wk8_features.tsv.gz(284KB), GSE229017_wk8_matrix.mtx.gz(123MB), GSE229017_wk8_raw_barcodes.tsv.gz(8MB), GSE229017_wk8_raw_features.tsv.gz(254KB), GSE229017_wk8_raw_matrix.mtx.gz(222MB)|immunology,development,aging,skeletal_muscle,hematopoiesis|Stem cell decoupling underlies impaired lymphoid development during aging [scRNA-seq]|Mammalian multiple defects hematopoiesis most prominently lymphocytes defect thought originate hematopoietic cells HSCs bone marrow specifically due age-dependent accumulation preferential|multiomics
GSE228943|cite_seq|Mus musculus|4|GSE228943_filtered_feature_bc_matrix.h5(94MB)|immunology,development,epigenetics,aging,skeletal_muscle,hematopoiesis|Stem cell decoupling underlies impaired lymphoid development during aging [scATAC-seq]|Mammalian multiple defects hematopoiesis most prominently lymphocytes defect thought originate hematopoietic cells HSCs bone marrow specifically due age-dependent accumulation preferential|multiomics
GSE219121|spatial_multiomics|Homo sapiens|31|GSE219121_cell_metadata_SC.csv.tar.gz(55MB), GSE219121_harmony_embedding_SC.csv.tar.gz(130MB), GSE219121_highly_variable_features_SC.csv.tar.gz(703KB), GSE219121_normalized_counts_logCP10K.h5(809MB), GSE219121_pca_embedding_SC.csv.tar.gz(129MB), GSE219121_pca_loading_SC.csv.tar.gz(5MB), GSE219121_raw_counts_SC.h5(357MB), GSE219121_RAW.tar(475MB), GSE219121_umap_embedding_SC.csv.tar.gz(4MB)|neuroscience,development|Spatiotemporal multi-omics decoding of the developing human spinal cord II|contains diverse cell types governed series events tissue assembly regulation fate specification largely unknown performing single-cell spatial methods integrated datasets created comprehensive|multiomics
GSE219120|spatial_multiomics|Homo sapiens|24|GSE219120_harmony_embedding_ST.csv.tar.gz(9MB), GSE219120_highly_variable_features_ST.csv.tar.gz(56KB), GSE219120_normalized_counts_logCP10K_ST.h5(92MB), GSE219120_pca_embedding_ST.csv.tar.gz(9MB), GSE219120_pca_loading_ST.csv.tar.gz(1MB), GSE219120_raw_counts_ST.h5(92MB), GSE219120_RAW.tar(626MB), GSE219120_spot_metadata_ST.csv.tar.gz(506KB), GSE219120_stereoscope_estimates_ST.csv.tar.gz(5MB), GSE219120_umap_embedding_ST.csv.tar.gz(510KB)|neuroscience,development|Spatiotemporal multi-omics decoding of the developing human spinal cord I|contains diverse cell types governed series events tissue assembly regulation fate specification largely unknown performing single-cell spatial methods integrated datasets created comprehensive|multiomics
GSE226826|other_multiomics|Arabidopsis thaliana|36|GSE226826_AvrRpm1_24h_peak.rds.gz(106MB), GSE226826_AvrRpm1_4h_peak.rds.gz(91MB), GSE226826_AvrRpm1_6h_peak.rds.gz(87MB), GSE226826_AvrRpm1_9h_peak.rds.gz(185MB), GSE226826_AvrRpt2_24h_peak.rds.gz(42MB), GSE226826_AvrRpt2_4h_peak.rds.gz(92MB), GSE226826_AvrRpt2_6h_peak.rds.gz(73MB), GSE226826_AvrRpt2_9h_peak.rds.gz(61MB), GSE226826_combined_filtered.rds.gz(5.2GB), GSE226826_DC3000_24h_peak.rds.gz(92MB), GSE226826_DC3000_4h_peak.rds.gz(113MB), GSE226826_DC3000_6h_peak.rds.gz(158MB), GSE226826_DC3000_9h_peak.rds.gz(116MB), GSE226826_gt3aKO_snRNA.rds.gz(2.7GB), GSE226826_mock_peak.rds.gz(156MB)|immunology,infectious_disease,gut_intestine,plant_biology,microbiology,gene_regulation|Time-resolved single-cell and spatial gene regulatory atlas of plants under pathogen attack|leaf intercellular space nutrient-rich heterogeneous niche microbes critical impact health individual cells respond microbial colonization largely elusive simultaneous transcriptome epigenome|multiomics
GSE210747|other_multiomics|Mus musculus|10|GSE210747_10x_complex_atac_fragments.tsv.gz(1.8GB), GSE210747_10x_no_perm_atac_fragments.tsv.gz(4.5GB), GSE210747_Mouse_cortex_DGEM.tsv.gz(46MB), GSE210747_scATACseq_Mouse_cortex_fragment_counts.tsv.gz(378MB), GSE210747_TST_atac_fragments.tsv.gz(733MB), GSE210747_TST_NP40_004_atac_fragments.tsv.gz(1.8GB)|neuroscience,epigenetics,skeletal_muscle,microbiology,gene_regulation|SCENIC+: identification of enhancers and gene regulatory networks using single-cell multiomics (Cortex)|Joint profiling chromatin accessibility expression individual cells opportunity decipher enhancer-driven eGRN present new method inference eGRNs called predicts genomic along candidate upstream|multiomics
GSE210749|other_multiomics|Drosophila melanogaster; Mus musculus; Homo sapiens|13|GSE210749_RAW.tar(580MB)|epigenetics,gene_regulation|SCENIC+: identification of enhancers and gene regulatory networks using single-cell multiomics|SuperSeries composed SubSeries listed|multiomics
GSE217450|other_multiomics|Homo sapiens|10|GSE217450_atac_fragments.tsv.gz(2.1GB), GSE217450_dogma_pearson_filtered_feature_bc_matrix_aggr.h5(201MB), GSE217450_RAW.tar(6MB)|development,metabolism,hematopoiesis|Cellular states, clonal dynamics, and evolution in Pearson syndrome revealed via single-cell multi-omics [DOGMAseq_PT1]|Large deletions mitochondrial DNA mtDNA linked variety clinical pathologies somatic emergence congenital disorders MIM 557000 disease characterized sideroblastic anemia exocrine pancreas dysfunction|multiomics
GSE218359|cite_seq|Homo sapiens|10|GSE218359_RAW.tar(853MB)|development,metabolism,fibrosis_wound,hematopoiesis,plant_biology|CD34+ HSPC  CITE-seq for day 0 and Day 1 and Day 4 under VPA|regenerative potential human hematopoietic stem cells HSCs established ability life-long blood cell production cure wide range hematological diseases transplantation depends HSC self-renewal|multiomics
GSE200201|multiome|Homo sapiens|38|GSE200201_RAW.tar(1.2GB)|epigenetics,crispr_gene_editing|Structural and functional properties of mSWI/SNF chromatin remodeling complexes revealed through single-cell perturbation and genomic profiling|Mammalian BAF play critical regulating DNA accessibility gene expression comprised three final-form assemblies cBAF PBAF ncBAF exhibit distinct modular organization targeting disease contributions|multiomics
GSE189536|cite_seq|Homo sapiens|32|GSE189536_barcodes.tsv.gz(228KB), GSE189536_features.tsv.gz(326KB), GSE189536_matrix.mtx.gz(322MB)|immunology,kidney,hematopoiesis,plant_biology|Sequencing of Physically Interacting Cells in Human Kidney Allograft Rejection Reveals Insights into Immune Cell Interactions|sequenced transriptomes 31203 transplant biopsies CITE-seq approach generate single multiomics computational pipeline called PIC-seq deconvolute transcriptional signatures contributing PIC comparing|multiomics
GSE173077|other_multiomics|Homo sapiens|23|GSE173077_RAW.tar(2.8GB)|immunology,hematopoiesis|Single-Cell Multiomics Reveals Distinct Cell States at the Top of the Human Hematopoietic Hierarchy|SuperSeries composed SubSeries listed|multiomics
GSE173076|cite_seq|Homo sapiens|13|GSE173076_RAW.tar(239MB)|cancer,immunology,development,hematopoiesis|Single-Cell Multiomics Reveals Distinct Cell States at the Top of the Human Hematopoietic Hierarchy [CITE-seq]|advent genomics challenged dogma haematopoiesis tree-like structure stepwise lineage commitment increasingly restricted progenitor populations Instead ScRNA-seq proposed earliest events stem HSC|multiomics
GSE213847|cite_seq|Mus musculus|3|GSE213847_barcodes.tsv.gz(63KB), GSE213847_features.tsv.gz(284KB), GSE213847_matrix.mtx.gz(145MB)|immunology,infectious_disease,plant_biology,cell_stress|Single-cell sequecing of LCMV-specific WT and HIF-1a-deficient CD8 T cells isolated from LCMV-Clone13 infected host mice|determine hypoxia-inducible factor alpha exhausted crossed Hif1a-fl/fl Cd4-Cre tdTomato P14 animals adoptively co-transferred equal numbers chronically days post infection retrieved GFP donor FACS|multiomics
GSE243593|other_multiomics|Mus musculus|8|GSE243593_RAW.tar(1.9GB)|immunology,infectious_disease|A unique epigenomic landscape defines CD8+ tissue-resident memory T cells [multiome]|datasets LCMV HSV infections|multiomics
GSE239915|other_multiomics|Homo sapiens|10|GSE239915_RAW.tar(24.1GB)|immunology,epigenetics,infectious_disease,gene_regulation|Single-cell epigenetic, transcriptional, and protein states of HIV-1-infected cells [scATAC-seq]|heterogeneity rarity hampers effective cure strategies DOGMA-seq simultaneously capture factor accessibility transcriptome 156 surface proteins DNA RNA six individuals viremia suppressive|multiomics
GSE239909|other_multiomics|Homo sapiens|10|GSE239909_RAW.tar(446MB)|immunology,epigenetics,infectious_disease,gene_regulation|Single-cell epigenetic, transcriptional, and protein states of HIV-1-infected cells [scRNA-seq]|heterogeneity rarity hampers effective cure strategies DOGMA-seq simultaneously capture factor accessibility transcriptome 156 surface proteins DNA six individuals viremia suppressive antiretroviral|multiomics
GSE239903|other_multiomics|Homo sapiens|10|[GEO:MTX, TSV, TXT]|immunology,epigenetics,infectious_disease,gene_regulation|Single-cell epigenetic, transcriptional, and protein states of HIV-1-infected cells [Feature_Barcoding]|heterogeneity rarity hampers effective cure strategies DOGMA-seq simultaneously capture factor accessibility transcriptome 156 surface proteins DNA RNA six individuals viremia suppressive|multiomics
GSE214031|cite_seq|Mus musculus|12|GSE214031_GSA019_filtered_feature_bc_matrix.h5(31MB), GSE214031_GSA019_raw_feature_bc_matrix.h5(79MB), GSE214031_GSA020_filtered_feature_bc_matrix.h5(27MB), GSE214031_GSA020_raw_feature_bc_matrix.h5(74MB), GSE214031_GSA023_filtered_feature_bc_matrix.h5(20MB), GSE214031_GSA023_raw_feature_bc_matrix.h5(78MB), GSE214031_GSA024_filtered_feature_bc_matrix.h5(26MB), GSE214031_GSA024_raw_feature_bc_matrix.h5(75MB)|immunology,metabolism|CITE-sequencing profiling establishes immune cell repertoire in peripheral blood and pancreas of new-onset diabetic NOD mice|miR-193b-3p miR-365-3p expression values increased infiltrating neutrophils basophils technology investigate phenotype frequency differentially expressed gene DEGs further different transcriptome|multiomics
GSE243360|cite_seq|Homo sapiens|30|GSE243360_Processed_bulk_RNAseq.txt.gz(5MB)|cancer,fibrosis_wound|RNA-seq of human head and neck squamous cell carcinoma (HNSCC) to compare different tissue dissociation methods [bulkRNA]|mechanical and/or enzymatic disaggregating connective release cells downstream single Without proper controls experiments potential artifacts mistaken baseline hypothesized collagenase/hyaluronidase|multiomics
GSE243359|cite_seq|Homo sapiens|2|GSE243359_RAW.tar(21MB)|cancer,fibrosis_wound|Single-cell RNA-seq of human head and neck squamous cell carcinoma (HNSCC) to compare different tissue dissociation methods|mechanical and/or enzymatic disaggregating connective release cells downstream Without proper controls experiments potential artifacts mistaken baseline hypothesized collagenase/hyaluronidase leads|multiomics
GSE243244|cite_seq|Mus musculus|16|GSE243244_RAW.tar(507MB)|immunology,infectious_disease,hematopoiesis|Identifying gene combinations for targeting innate immune cells to enhance T cells activation [CITE-seq]|Genetic engineering hematopoietic ex-vivo opens new opportunities programming improving functionality response illness infections Molecular methods manipulation constantly challenging reveal genes|multiomics
GSE240984|multiome|Homo sapiens|2|GSE240984_barcodes.tsv.gz(23KB), GSE240984_features.tsv.gz(2MB), GSE240984_matrix.mtx.gz(95MB)|cancer,epigenetics,drug_response,cell_stress|Circular extrachromosomal DNA promotes tumor heterogeneity in high-risk medulloblastomas [scRNA+ATAC-seq]|ecDNA patient genomes important driver oncogenic expression evolution drug resistance poor outcomes Applying computational methods detection reconstruction across retrospective cohort 481 tumors 465|multiomics
GSE232001|multiome|Mus musculus|12|GSE232001_ILC2_post-transplant_rep1_filtered_feature_bc_matrix.h5(22MB), GSE232001_ILC2_post-transplant_rep2_filtered_feature_bc_matrix.h5(43MB), GSE232001_ilc2_pre-transplant_rep1_filtered_feature_bc_matrix.h5(60MB), GSE232001_ilc2_pre-transplant_rep2_filtered_feature_bc_matrix.h5(58MB), GSE232001_pcILC2_rep1_filtered_feature_bc_matrix.h5(58MB), GSE232001_pcILC2_rep2_filtered_feature_bc_matrix.h5(26MB), GSE232001_RAW.tar(3.8GB)|cancer,immunology,development,hematopoiesis,drug_response,plant_biology|Multiomic Single Cell Evaluation Reveals Inflammatory Cytokines Affect Innate Lymphoid Cell Fate After Allogeneic Stem Cell Transplantation [10X Multiome]|hematopoietic alloHSCT preferred treatment variety hematologic malignancies use limited development acute graft-versus-host disease aGvHD Type cells ILC2s immune play important maintaining|multiomics
GSE233796|cite_seq|Homo sapiens; Mus musculus|22|GSE233796_ATAC_counts_matrix.csv.gz(2MB), GSE233796_Med12_BMDCs.csv.gz(1MB), GSE233796_Med12_hMo.csv.gz(167KB), GSE233796_RAW.tar(1.4GB)|immunology,infectious_disease,hematopoiesis|Identifying gene combinations for targeting innate immune cells to enhance T cells activation [Med12 and Cebpb KO]|Genetic engineering hematopoietic ex-vivo opens new opportunities programming improving functionality response illness infections Molecular methods manipulation constantly challenging reveal genes|multiomics
GSE232543|cite_seq|Mus musculus|7|[GEO:CSV]|immunology,infectious_disease,hematopoiesis,crispr_gene_editing|Identifying gene combinations for targeting innate immune cells to enhance T cells activation [Cebpb-KO CRISPR screen]|Genetic engineering hematopoietic ex-vivo opens new opportunities programming improving functionality response illness infections Molecular methods manipulation constantly challenging reveal genes|multiomics
